algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,RANGE_PR_AUC,BestF1Score,FalseNegativeRate,result_path,Recommendation_ACC
HBOS,OBSEA,2021-12-25_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",,,,15.331039667129517,,,,1.0000000000000002,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.999995000025
DenoisingAutoEncoder (DAE),OBSEA,2021-12-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.4679594039917,,,16.249678373336792,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.999995000025
DenoisingAutoEncoder (DAE),OBSEA,2021-12-29,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",29.23256015777588,,,15.220868110656738,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.999995000025
HBOS,OBSEA,2021-12-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,17.243757724761963,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.999995000025
DenoisingAutoEncoder (DAE),OBSEA,2021-12-31,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",20.482534646987915,,,10.169511795043944,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.999995000025
DenoisingAutoEncoder (DAE),OBSEA,2021-12-28,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",20.812422275543213,,,14.57402777671814,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.999995000025
HBOS,OBSEA,2021-12-31_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",,,,12.088806629180908,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.999995000025
HBOS,OBSEA,2021-12-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,12.845058917999268,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.999995000025
HBOS,OBSEA,2021-12-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",,,,13.418471574783323,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.999995000025
HBOS,OBSEA,2021-12-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,13.663398504257202,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.999995000025
HBOS,OBSEA,2021-12-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,15.544915437698364,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.999995000025
HBOS,OBSEA,2021-12-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,12.60980463027954,,,0.9884374168261514,0.9815528380644342,0.9905392324538004,0.0187343880099916,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.9718048444438088
DenoisingAutoEncoder (DAE),OBSEA,2021-01-10,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",22.6789824962616,,,12.83366060256958,,,0.3616093707669713,0.9659838221042348,0.9499076508925608,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.9499076508925608
HBOS,OBSEA,2021-01-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",,,,17.67007064819336,,,0.4644086949082457,0.95630087218794,0.9499076508925608,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.9499076508925608
AutoEncoder (AE),OBSEA,2021-01-10,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",21.26228189468384,,,11.72976803779602,,,0.5838977371565454,0.9499323884080666,0.9499076508925608,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.9499076508925608
Random Black Forest (RR),OBSEA,2021-12-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d82d967f453c8877b8c563e6747347c0,2,"{'bootstrap': False, 'max_depth': 4, 'max_features_method': 'auto', 'max_features_per_estimator': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': 1, 'n_trees': 10, 'random_state': 42, 'train_window_size': 500, 'verbose': 0}",1746.6431984901428,,,31.376640796661377,,,,1.0,0.999995000025,0.0578703703703703,../../../../TimeEval_work_results/best4avgens_2122/2024_04_15_10_19_02/results.csv,0.9421246296546296
Random Black Forest (RR),OBSEA,2021-12-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d82d967f453c8877b8c563e6747347c0,1,"{'bootstrap': False, 'max_depth': 4, 'max_features_method': 'auto', 'max_features_per_estimator': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': 1, 'n_trees': 10, 'random_state': 42, 'train_window_size': 500, 'verbose': 0}",2036.201568365097,,,23.768189430236816,,,,1.0,0.999995000025,0.0578703703703703,../../../../TimeEval_work_results/best4avgens_2122/2024_04_15_10_19_02/results.csv,0.9421246296546296
Random Black Forest (RR),OBSEA,2021-12-29,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d82d967f453c8877b8c563e6747347c0,1,"{'bootstrap': False, 'max_depth': 4, 'max_features_method': 'auto', 'max_features_per_estimator': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': 1, 'n_trees': 10, 'random_state': 42, 'train_window_size': 500, 'verbose': 0}",1873.9075503349304,,,29.22414612770081,,,,1.0000000000000002,0.999995000025,0.0578703703703703,../../../../TimeEval_work_results/best4avgens_2122/2024_04_15_10_19_02/results.csv,0.9421246296546296
Random Black Forest (RR),OBSEA,2021-12-28,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d82d967f453c8877b8c563e6747347c0,1,"{'bootstrap': False, 'max_depth': 4, 'max_features_method': 'auto', 'max_features_per_estimator': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': 1, 'n_trees': 10, 'random_state': 42, 'train_window_size': 500, 'verbose': 0}",2123.4815018177032,,,29.109852075576782,,,,1.0,0.999995000025,0.0578703703703703,../../../../TimeEval_work_results/best4avgens_2122/2024_04_15_10_19_02/results.csv,0.9421246296546296
Random Black Forest (RR),OBSEA,2021-12-27,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d82d967f453c8877b8c563e6747347c0,1,"{'bootstrap': False, 'max_depth': 4, 'max_features_method': 'auto', 'max_features_per_estimator': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': 1, 'n_trees': 10, 'random_state': 42, 'train_window_size': 500, 'verbose': 0}",1993.32617521286,,,27.49679017066956,,,,1.0,0.999995000025,0.0578770691052205,../../../../TimeEval_work_results/best4avgens_2122/2024_04_15_10_19_02/results.csv,0.9421179309197795
Random Black Forest (RR),OBSEA,2021-12-25,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d82d967f453c8877b8c563e6747347c0,3,"{'bootstrap': False, 'max_depth': 4, 'max_features_method': 'auto', 'max_features_per_estimator': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': 1, 'n_trees': 10, 'random_state': 42, 'train_window_size': 500, 'verbose': 0}",1506.6154832839966,,,23.2803053855896,,,,1.0000000000000002,0.999995000025,0.0578770691052205,../../../../TimeEval_work_results/best4avgens_2122/2024_04_15_10_19_02/results.csv,0.9421179309197795
Random Black Forest (RR),OBSEA,2021-12-31,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d82d967f453c8877b8c563e6747347c0,3,"{'bootstrap': False, 'max_depth': 4, 'max_features_method': 'auto', 'max_features_per_estimator': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': 1, 'n_trees': 10, 'random_state': 42, 'train_window_size': 500, 'verbose': 0}",1610.0460681915283,,,34.98589515686035,,,,1.0,0.999995000025,0.0607164541590771,../../../../TimeEval_work_results/best4avgens_2122/2024_04_15_10_19_02/results.csv,0.9392785458659229
AutoEncoder (AE),OBSEA,2021-01-11,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.21355032920837,,,15.936216831207275,,,0.5634559949607292,0.8843229801113084,0.8708292013154582,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.8708292013154582
DenoisingAutoEncoder (DAE),OBSEA,2021-01-11,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",20.51255965232849,,,15.795245885849,,,0.5130081691305288,0.9207400563240788,0.8707472251323953,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.8707472251323953
HBOS,OBSEA,2021-01-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",,,,12.107463836669922,,,0.6274630814354049,0.8731489564969591,0.8707472251323953,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.8707472251323953
DenoisingAutoEncoder (DAE),OBSEA,2021-01-03,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",15.865535020828249,,,13.895976305007936,,,0.4707896575821104,0.9197738964717816,0.8631872760202063,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.8631872760202063
AutoEncoder (AE),OBSEA,2021-01-03,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.85383367538452,,,13.980854749679564,,,0.2770390336428072,0.925761196596014,0.8631872760202063,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.8631872760202063
HBOS,OBSEA,2021-01-03_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",,,,12.216397285461426,,,0.6639587700908455,0.8398117452181013,0.8631872760202063,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.8631872760202063
DenoisingAutoEncoder (DAE),OBSEA,2021-01-09,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",18.64528203010559,,,13.907754898071287,,,0.706354500725638,0.8514603368678773,0.8597369174111703,0.0035658914728682,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.8561710259383021
HBOS,OBSEA,2021-01-09_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,16.08723282814026,,,0.5531123854022866,0.9044994265225148,0.8548658806883969,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.8548658806883969
AutoEncoder (AE),OBSEA,2021-01-09,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",21.69749116897583,,,12.242833852767944,,,0.6995065307422745,0.8548369571894198,0.8661249844692613,0.015968992248062,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.8501559922211993
DenoisingAutoEncoder (DAE),OBSEA,2021-01-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.338260650634766,,,9.516544342041016,,,0.6980210029198981,0.91798373128844,0.846799810701143,0.0093352647674231,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.8374645459337199
AutoEncoder (AE),OBSEA,2021-01-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.303557872772217,,,11.722556829452516,,,0.6735933421363329,0.8988004617224069,0.836593800464259,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.836593800464259
HBOS,OBSEA,2021-01-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,14.829967498779297,,,0.670086433731365,0.8695085450129,0.836593800464259,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.836593800464259
Random Black Forest (RR),OBSEA,2021-01-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d82d967f453c8877b8c563e6747347c0,2,"{'bootstrap': False, 'max_depth': 4, 'max_features_method': 'auto', 'max_features_per_estimator': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': 1, 'n_trees': 10, 'random_state': 42, 'train_window_size': 500, 'verbose': 0}",1864.128293514252,,,23.850292921066284,,,0.6529276472879313,0.888488633513255,0.8526274294261219,0.026396265894093,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_03/results.csv,0.8262311635320289
AutoEncoder (AE),OBSEA,2021-02-02,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",17.484225034713745,,,9.362400770187378,,,0.8508568589026492,0.8431334546690078,0.8302797419928123,0.0284123632175081,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.8018673787753042
Random Black Forest (RR),OBSEA,2021-01-09,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d82d967f453c8877b8c563e6747347c0,1,"{'bootstrap': False, 'max_depth': 4, 'max_features_method': 'auto', 'max_features_per_estimator': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': 1, 'n_trees': 10, 'random_state': 42, 'train_window_size': 500, 'verbose': 0}",1865.9742901325224,,,29.645443439483643,,,0.5798194046228452,0.8542316697857559,0.8521813820761556,0.0708527131782945,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_03/results.csv,0.7813286688978611
DenoisingAutoEncoder (DAE),OBSEA,2021-01-20,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",20.568400621414185,,,15.170889139175417,,,0.5067578204722152,0.9206486576823252,0.7808616151796564,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.7808616151796564
AutoEncoder (AE),OBSEA,2021-01-20,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",25.92350602149964,,,11.720133543014526,,,0.2416751819984915,0.8733608400267178,0.7808616151796564,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.7808616151796564
HBOS,OBSEA,2021-01-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,18.121917247772217,,,0.7343856720417785,0.8566159089543128,0.7808616151796564,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.7808616151796564
Random Black Forest (RR),OBSEA,2021-01-11,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d82d967f453c8877b8c563e6747347c0,1,"{'bootstrap': False, 'max_depth': 4, 'max_features_method': 'auto', 'max_features_per_estimator': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': 1, 'n_trees': 10, 'random_state': 42, 'train_window_size': 500, 'verbose': 0}",386.9493029117584,,,23.887959480285645,,,0.5234379638196098,0.8836368506560739,0.8638099305362698,0.0962162162162162,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_03/results.csv,0.7675937143200535
Random Black Forest (RR),OBSEA,2021-01-18,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d82d967f453c8877b8c563e6747347c0,1,"{'bootstrap': False, 'max_depth': 4, 'max_features_method': 'auto', 'max_features_per_estimator': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': 1, 'n_trees': 10, 'random_state': 42, 'train_window_size': 500, 'verbose': 0}",1681.2193748950958,,,23.493679523468018,,,0.569344697316806,0.8074839097003931,0.7563183656156037,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_03/results.csv,0.7563183656156037
HBOS,OBSEA,2021-01-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",,,,12.129862308502195,,,0.7880681106805258,0.6935539445434169,0.7327189299359833,0.0023062730627306,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.7304126568732527
HBOS,OBSEA,2021-01-18_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",,,,13.497339963912964,,,0.4636531712653123,0.859522631350165,0.7284858374470715,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,0.7284858374470715
